Package,Test,Type,Status,Expected,Actual,Timestamp,Message
"github.com/FITHSCS/backend/business/domain/gpstrackingbus","Test_GPSTracking/softDelete-admin","test_completion","passed","","","2025-07-06T21:33:14.401365529Z","Test Test_GPSTracking/softDelete-admin passed"
"github.com/FITHSCS/backend/business/domain/gpstrackingbus","Test_GPSTracking/hardDelete-user","test_completion","passed","","","2025-07-06T21:33:14.401373394Z","Test Test_GPSTracking/hardDelete-user passed"
"github.com/FITHSCS/backend/business/domain/gpstrackingbus","Test_GPSTracking/hardDelete-admin","test_completion","passed","","","2025-07-06T21:33:14.401380337Z","Test Test_GPSTracking/hardDelete-admin passed"
"github.com/FITHSCS/backend/business/domain/gpstrackingbus","Test_GPSTracking","test_completion","passed","","","2025-07-06T21:33:14.401383764Z","Test Test_GPSTracking passed"
"github.com/FITHSCS/backend/business/domain/gpstrackingbus","Test_GPSTracking","test_completion","passed","","","2025-07-06T21:33:14.40429572Z","Test Test_GPSTracking passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/query-all","test_completion","passed","","","2025-07-06T21:33:15.696523743Z","Test Test_Signature/query-all passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/query-byid","test_completion","passed","","","2025-07-06T21:33:15.696534524Z","Test Test_Signature/query-byid passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/create-basic","test_completion","passed","","","2025-07-06T21:33:15.696545735Z","Test Test_Signature/create-basic passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/update-basic","test_completion","passed","","","2025-07-06T21:33:15.696552577Z","Test Test_Signature/update-basic passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/softDelete-user","test_completion","passed","","","2025-07-06T21:33:15.696559641Z","Test Test_Signature/softDelete-user passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/softDelete-admin","test_completion","passed","","","2025-07-06T21:33:15.696566464Z","Test Test_Signature/softDelete-admin passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/hardDelete-user","test_completion","passed","","","2025-07-06T21:33:15.696573517Z","Test Test_Signature/hardDelete-user passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature/hardDelete-admin","test_completion","passed","","","2025-07-06T21:33:15.696581572Z","Test Test_Signature/hardDelete-admin passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature","test_completion","passed","","","2025-07-06T21:33:15.696584467Z","Test Test_Signature passed"
"github.com/FITHSCS/backend/business/domain/signaturebus","Test_Signature","test_completion","passed","","","2025-07-06T21:33:15.698656986Z","Test Test_Signature passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/query-all","test_completion","passed","","","2025-07-06T21:33:16.801444596Z","Test Test_Vehicle/query-all passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/query-byid","test_completion","passed","","","2025-07-06T21:33:16.801454765Z","Test Test_Vehicle/query-byid passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/create-basic","test_completion","passed","","","2025-07-06T21:33:16.801462149Z","Test Test_Vehicle/create-basic passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/update-basic","test_completion","passed","","","2025-07-06T21:33:16.801469302Z","Test Test_Vehicle/update-basic passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/delete-user","test_completion","passed","","","2025-07-06T21:33:16.801476937Z","Test Test_Vehicle/delete-user passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle/delete-admin","test_completion","passed","","","2025-07-06T21:33:16.801483689Z","Test Test_Vehicle/delete-admin passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle","test_completion","passed","","","2025-07-06T21:33:16.801486825Z","Test Test_Vehicle passed"
"github.com/FITHSCS/backend/business/domain/vehiclebus","Test_Vehicle","test_completion","passed","","","2025-07-06T21:33:16.80380371Z","Test Test_Vehicle passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/query-all","test_completion","passed","","","2025-07-06T21:33:18.718119055Z","Test Test_DeliveryException/query-all passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/query-byid","test_completion","passed","","","2025-07-06T21:33:18.718130837Z","Test Test_DeliveryException/query-byid passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/create-basic_no_resolved_by","test_completion","passed","","","2025-07-06T21:33:18.718138962Z","Test Test_DeliveryException/create-basic_no_resolved_by passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/create-basic_with_resolved_by","test_completion","passed","","","2025-07-06T21:33:18.71814832Z","Test Test_DeliveryException/create-basic_with_resolved_by passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/update-basic_no_resolved_by","test_completion","passed","","","2025-07-06T21:33:18.718156485Z","Test Test_DeliveryException/update-basic_no_resolved_by passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/update-basic_with_resolved_by","test_completion","passed","","","2025-07-06T21:33:18.718165602Z","Test Test_DeliveryException/update-basic_with_resolved_by passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/update-basic_with_escalated_to","test_completion","passed","","","2025-07-06T21:33:18.71817511Z","Test Test_DeliveryException/update-basic_with_escalated_to passed"
"github.com/FITHSCS/backend/business/domain/delexceptionbus","Test_DeliveryException/update-basic_without_resolved_by","test_completion","passed","","","2025-07-06T21:33:18.718183266Z","Test Test_DeliveryException/update-basic_without_resolved_by passed"
